年度,主管機關,用途,金額,資金來源
114,議會,資本門預算（機關別彙總）,30358000,臺北市總預算
114,市政府,資本門預算（機關別彙總）,1348443000,臺北市總預算
114,民政局,資本門預算（機關別彙總）,540528000,臺北市總預算
114,財政局,資本門預算（機關別彙總）,90911000,臺北市總預算
114,教育局,資本門預算（機關別彙總）,8579170000,臺北市總預算
114,產業發展局,資本門預算（機關別彙總）,3518156000,臺北市總預算
114,工務局,資本門預算（機關別彙總）,15468070000,臺北市總預算
114,交通局,資本門預算（機關別彙總）,1326078000,臺北市總預算
114,社會局,資本門預算（機關別彙總）,843206000,臺北市總預算
114,勞動局,資本門預算（機關別彙總）,790667000,臺北市總預算
114,警察局,資本門預算（機關別彙總）,500659000,臺北市總預算
114,衛生局,資本門預算（機關別彙總）,62495000,臺北市總預算
114,環境保護局,資本門預算（機關別彙總）,311092000,臺北市總預算
114,都市發展局,資本門預算（機關別彙總）,615898000,臺北市總預算
114,文化局,資本門預算（機關別彙總）,1110382000,臺北市總預算
114,消防局,資本門預算（機關別彙總）,1209268000,臺北市總預算
114,臺北翡翠水庫管理局,資本門預算（機關別彙總）,65171000,臺北市總預算
114,觀光傳播局,資本門預算（機關別彙總）,13037000,臺北市總預算
114,地政局,資本門預算（機關別彙總）,49422000,臺北市總預算
114,兵役局,資本門預算（機關別彙總）,59659000,臺北市總預算
114,臺北自來水事業處,資本門預算（機關別彙總）,129920000,臺北市總預算
114,體育局,資本門預算（機關別彙總）,766143000,臺北市總預算
114,資訊局,資本門預算（機關別彙總）,249646000,臺北市總預算
114,法務局,資本門預算（機關別彙總）,721000,臺北市總預算
114,青年局,資本門預算（機關別彙總）,27039000,臺北市總預算
114,捷運工程局,資本門預算（機關別彙總）,4866398000,臺北市總預算
114,統籌支撥科目,資本門預算（機關別彙總）,1050000000,臺北市總預算
114,第二預備金,資本門預算（機關別彙總）,220000000,臺北市總預算
115,議會,資本門預算（機關別彙總）,76033000,臺北市總預算
115,市政府,資本門預算（機關別彙總）,1910761000,臺北市總預算
115,民政局,資本門預算（機關別彙總）,599291000,臺北市總預算
115,財政局,資本門預算（機關別彙總）,114087000,臺北市總預算
115,教育局,資本門預算（機關別彙總）,10721217000,臺北市總預算
115,產業發展局,資本門預算（機關別彙總）,3191965000,臺北市總預算
115,工務局,資本門預算（機關別彙總）,16610898000,臺北市總預算
115,交通局,資本門預算（機關別彙總）,1100569000,臺北市總預算
115,社會局,資本門預算（機關別彙總）,959488000,臺北市總預算
115,勞動局,資本門預算（機關別彙總）,184641000,臺北市總預算
115,警察局,資本門預算（機關別彙總）,611615000,臺北市總預算
115,衛生局,資本門預算（機關別彙總）,188938000,臺北市總預算
115,環境保護局,資本門預算（機關別彙總）,260290000,臺北市總預算
115,都市發展局,資本門預算（機關別彙總）,654442000,臺北市總預算
115,文化局,資本門預算（機關別彙總）,1713230000,臺北市總預算
115,消防局,資本門預算（機關別彙總）,993480000,臺北市總預算
115,臺北翡翠水庫管理局,資本門預算（機關別彙總）,98976000,臺北市總預算
115,觀光傳播局,資本門預算（機關別彙總）,3048000,臺北市總預算
115,地政局,資本門預算（機關別彙總）,54308000,臺北市總預算
115,兵役局,資本門預算（機關別彙總）,7184000,臺北市總預算
115,臺北自來水事業處,資本門預算（機關別彙總）,72620000,臺北市總預算
115,體育局,資本門預算（機關別彙總）,1284017000,臺北市總預算
115,資訊局,資本門預算（機關別彙總）,154051000,臺北市總預算
115,法務局,資本門預算（機關別彙總）,3420000,臺北市總預算
115,青年局,資本門預算（機關別彙總）,42710000,臺北市總預算
115,捷運工程局,資本門預算（機關別彙總）,7969278000,臺北市總預算
115,統籌支撥科目,資本門預算（機關別彙總）,1720000000,臺北市總預算
115,第二預備金,資本門預算（機關別彙總）,220000000,臺北市總預算
