年度,歲入來源,科目,歲入性質,項,金額
114,稅課收入,遺產及贈與稅,經常門,01,6544000000
114,稅課收入,菸酒稅,經常門,02,806182000
114,稅課收入,印花稅,經常門,03,5800000000
114,稅課收入,使用牌照稅,經常門,04,7200000000
114,稅課收入,土地稅,經常門,05,45600000000
114,稅課收入,房屋稅,經常門,06,17565000000
114,稅課收入,契稅,經常門,07,1800000000
114,稅課收入,娛樂稅,經常門,08,240000000
114,稅課收入,統籌分配稅,經常門,09,69779610000
114,罰款及賠償收入,罰金罰鍰及怠金,經常門,01,3553370000
114,罰款及賠償收入,沒入及沒收財物,經常門,02,4284000
114,罰款及賠償收入,賠償收入,經常門,03,94471000
114,規費收入,行政規費收入,經常門,01,1804860000
114,規費收入,使用規費收入,經常門,02,6717230000
114,財產收入,財產孳息,經常門,01,7285228000
114,財產收入,財產售價,資本門,02,1664248000
114,財產收入,投資收回,資本門,03,648000000
114,財產收入,廢舊物資售價,經常門,04,91044000
114,營業盈餘及事業收入,營業基金盈餘繳庫,經常門,01,494704000
114,營業盈餘及事業收入,非營業特種基金賸餘繳庫,經常門,02,4977380000
114,營業盈餘及事業收入,投資收益,經常門,03,3620799000
114,補助及協助收入,上級政府補助收入,經常門,01,16325543000
114,其他收入,雜項收入,經常門,02,1801515000
115,稅課收入,遺產及贈與稅,經常門,01,6544000000
115,稅課收入,菸酒稅,經常門,02,806182000
115,稅課收入,印花稅,經常門,03,6900000000
115,稅課收入,使用牌照稅,經常門,04,7100000000
115,稅課收入,土地稅,經常門,05,45490000000
115,稅課收入,房屋稅,經常門,06,18908000000
115,稅課收入,契稅,經常門,07,1900000000
115,稅課收入,娛樂稅,經常門,08,280000000
115,稅課收入,統籌分配稅,經常門,09,69967414000
115,罰款及賠償收入,罰金罰鍰及怠金,經常門,01,3660028000
115,罰款及賠償收入,沒入及沒收財物,經常門,02,16038000
115,罰款及賠償收入,賠償收入,經常門,03,92440000
115,規費收入,行政規費收入,經常門,01,1761381000
115,規費收入,使用規費收入,經常門,02,6783414000
115,財產收入,財產孳息,經常門,01,7192283000
115,財產收入,財產售價,資本門,02,2438526000
115,財產收入,投資收回,資本門,03,624000000
115,財產收入,廢舊物資售價,經常門,04,92658000
115,營業盈餘及事業收入,營業基金盈餘繳庫,經常門,01,1823214000
115,營業盈餘及事業收入,非營業特種基金賸餘繳庫,經常門,02,7200000000
115,營業盈餘及事業收入,投資收益,經常門,03,3714874000
115,補助及協助收入,上級政府補助收入,經常門,01,14435409000
115,捐獻及贈與收入,捐獻收入,經常門,01,52563000
115,其他收入,雜項收入,經常門,01,2017597000
